rl,rlr,drlr,irl,vo,dvo,vi,dvi,A,dA
47,46.6,0.5728,0.503082000000,23.4436212,0.137218106,9.58,0.0679,2.44714208768267,0.0316679596820097
10,9.9,0.0992,2.322880000000,22.996512,0.13498256,9.55,0.06775,2.40801172774869,0.0312173146130863
1,0.98,0.00984,22.814000000000,22.35772,0.1317886,9.56,0.0678,2.33867364016736,0.0303714092890531
