rl,rlr,drlr,irl,vi,dvi,vo,dvo,A,dA,irl,dirl
47,46.6,0.5728,0.1939665,9.54,0.0677,9.7167518175,0.0685837590875,1.01852744418239,0.0144169881612838,0.2085139875,0.00256449347208342
10,9.9,0.0992,0.89911872,9.57,0.06785,9.70239010752,0.0685119505376,1.01383386703448,0.0143469778908976,0.9800394048,0.00982711322289875
1,0.98,0.00984,8.99720648,9.57,0.06785,9.69898858544,0.0684949429272,1.01347843108046,0.0143426807184963,9.896927128,0.0994431202882114
