Nro Tapa,m/g,d(m/g)
1,0.000762237869201001,0.0000831944082437974
2,0.00516486261873321,0.000195282976370173
3,0.00270989583598884,0.000296956786127327
4,0.0114208215853528,0.000450294487226925
