2,0.02,4.14,0.1742
5,0.02,3.65,0.1595
7,0.02,3.37,0.1511
11,0.02,3.18,0.1454
13,0.02,2.88,0.1364
15,0.02,2.81,0.1343
17,0.02,2.68,0.1304
19,0.02,2.54,0.1262
21,0.02,2.31,0.1193
25,0.02,2.15,0.1145
